"iso3","date","confirmed","deaths","recovered","2017"
"AFG",2020-09-26,39192,1455,32635,35530081
"AFG",2020-09-27,39227,1455,32642,35530081
"AFG",2020-09-28,39239,1458,32642,35530081
"AFG",2020-09-29,39254,1460,32746,35530081
"AFG",2020-09-30,39268,1460,32789,35530081
"AFG",2020-10-01,39285,1460,32842,35530081
"AFG",2020-10-02,39290,1460,32842,35530081
"AFG",2020-10-03,39297,1464,32842,35530081
"AFG",2020-10-04,39341,1464,32852,35530081
"AFG",2020-10-05,39422,1468,32879,35530081
"AFG",2020-10-06,39486,1469,32977,35530081
"AFG",2020-10-07,39548,1471,33045,35530081
"AFG",2020-10-08,39616,1472,33058,35530081
"AFG",2020-10-09,39693,1474,33058,35530081
"AFG",2020-10-10,39703,1475,33064,35530081
"AFG",2020-10-11,39799,1479,33114,35530081
"AFG",2020-10-12,39870,1481,33118,35530081
"AFG",2020-10-13,39928,1482,33308,35530081
"AFG",2020-10-14,39994,1483,33354,35530081
"AFG",2020-10-15,40026,1483,33447,35530081
"AFG",2020-10-16,40088,1487,33516,35530081
"AFG",2020-10-17,40141,1490,33561,35530081
"AFG",2020-10-18,40200,1494,33614,35530081
"AFG",2020-10-19,40287,1499,33760,35530081
"AFG",2020-10-20,40369,1501,33790,35530081
"AFG",2020-10-21,40510,1503,33824,35530081
"AFG",2020-10-22,40626,1507,33831,35530081
"AFG",2020-10-23,40687,1509,34010,35530081
"AFG",2020-10-24,40768,1513,34023,35530081
"AFG",2020-10-25,40833,1516,34129,35530081
"AFG",2020-10-26,40937,1520,34150,35530081
"AFG",2020-10-27,41032,1525,34217,35530081
"AFG",2020-10-28,41145,1531,34237,35530081
"AFG",2020-10-29,41268,1534,34239,35530081
"AFG",2020-10-30,41334,1535,34258,35530081
"AFG",2020-10-31,41425,1538,34321,35530081
"AFG",2020-11-01,41501,1538,34326,35530081
"AFG",2020-11-02,41633,1544,34342,35530081
"AFG",2020-11-03,41728,1547,34355,35530081
"AFG",2020-11-04,41814,1551,34362,35530081
"AFG",2020-11-05,41935,1557,34440,35530081
"AFG",2020-11-06,41975,1557,34440,35530081
"AFG",2020-11-07,42033,1559,34446,35530081
"AFG",2020-11-08,42159,1565,34458,35530081
"AFG",2020-11-09,42297,1577,34721,35530081
"AFG",2020-11-10,42463,1580,34954,35530081
"AFG",2020-11-11,42609,1584,34967,35530081
"AFG",2020-11-12,42795,1594,35024,35530081
"AFG",2020-11-13,42969,1598,35036,35530081
"AFG",2020-11-14,43035,1608,35067,35530081
"AFG",2020-11-15,43240,1620,35092,35530081
"AFG",2020-11-16,43468,1635,35137,35530081
"AFG",2020-11-17,43681,1641,35160,35530081
"AFG",2020-11-18,43924,1648,35295,35530081
"AFG",2020-11-19,44177,1653,35350,35530081
"AFG",2020-11-20,44363,1666,35370,35530081
"AFG",2020-11-21,44503,1678,35422,35530081
"AFG",2020-11-22,44706,1690,35934,35530081
"AFG",2020-11-23,44988,1702,35976,35530081
"AFG",2020-11-24,45174,1715,36122,35530081
"AFG",2020-11-25,45384,1728,36145,35530081
"AFG",2020-11-26,45600,1737,36232,35530081
"AFG",2020-11-27,45723,1740,36295,35530081
"AFG",2020-11-28,45844,1752,36709,35530081
"AFG",2020-11-29,46116,1774,36716,35530081
"AFG",2020-11-30,46274,1795,36831,35530081
"AFG",2020-12-01,46516,1822,36946,35530081
"AFG",2020-12-02,46718,1841,37218,35530081
"AFG",2020-12-03,46837,1846,37260,35530081
"AFG",2020-12-04,46837,1846,37260,35530081
"AFG",2020-12-05,47072,1864,37393,35530081
"AFG",2020-12-06,47306,1874,37685,35530081
"AFG",2020-12-07,47516,1900,37879,35530081
"AFG",2020-12-08,47716,1906,37920,35530081
"AFG",2020-12-09,47851,1919,38032,35530081
"AFG",2020-12-10,48053,1935,38099,35530081
"AFG",2020-12-11,48116,1945,38141,35530081
"AFG",2020-12-12,48229,1956,38200,35530081
"AFG",2020-12-13,48527,1965,38250,35530081
"AFG",2020-12-14,48718,1969,38252,35530081
"AFG",2020-12-15,48952,1995,38336,35530081
"AFG",2020-12-16,49161,2011,38475,35530081
"AFG",2020-12-17,49378,2025,38505,35530081
"AFG",2020-12-18,49621,2030,38540,35530081
"AFG",2020-12-19,49681,2047,38613,35530081
"AFG",2020-12-20,49817,2067,39006,35530081
"AFG",2020-12-21,50013,2082,39508,35530081
"AFG",2020-12-22,50190,2096,39585,35530081
"AFG",2020-12-23,50433,2117,39692,35530081
"AFG",2020-12-24,50655,2126,40359,35530081
"AFG",2020-12-25,50810,2139,40444,35530081
"AFG",2020-12-26,50886,2149,40784,35530081
"AFG",2020-12-27,51039,2160,41096,35530081
"AFG",2020-12-28,51280,2174,41441,35530081
"AFG",2020-12-29,51350,2179,41543,35530081
"AFG",2020-12-30,51405,2181,41612,35530081
"AFG",2020-12-31,51526,2191,41727,35530081
"AFG",2021-01-01,51526,2191,41727,35530081
"AFG",2021-01-02,51526,2191,41727,35530081
"AFG",2021-01-03,51526,2191,41727,35530081
"AFG",2021-01-04,53011,2237,42530,35530081
"AFG",2021-01-05,53105,2244,42666,35530081
"AFG",2021-01-06,53105,2244,42666,35530081
"AFG",2021-01-07,53207,2253,43291,35530081
"AFG",2021-01-08,53332,2257,43440,35530081
"AFG",2021-01-09,53400,2264,43740,35530081
"AFG",2021-01-10,53489,2277,43948,35530081
"AFG",2021-01-11,53538,2288,44137,35530081
"AFG",2021-01-12,53584,2301,44608,35530081
"AFG",2021-01-13,53584,2301,44850,35530081
"AFG",2021-01-14,53775,2314,45298,35530081
"AFG",2021-01-15,53831,2324,45434,35530081
"AFG",2021-01-16,53938,2336,45465,35530081
"AFG",2021-01-17,53984,2339,45868,35530081
"AFG",2021-01-18,54062,2343,46359,35530081
"AFG",2021-01-19,54141,2346,46554,35530081
"AFG",2021-01-20,54278,2354,46759,35530081
"AFG",2021-01-21,54403,2363,46887,35530081
"AFG",2021-01-22,54483,2370,46912,35530081
"AFG",2021-01-23,54559,2373,46943,35530081
"AFG",2021-01-24,54595,2378,47298,35530081
"AFG",2021-01-25,54672,2385,47365,35530081
"AFG",2021-01-26,54750,2389,47459,35530081
"AFG",2021-01-27,54854,2389,47549,35530081
"AFG",2021-01-28,54891,2397,47583,35530081
"AFG",2021-01-29,54939,2399,47606,35530081
"AFG",2021-01-30,55008,2400,47609,35530081
"AFG",2021-01-31,55023,2400,47679,35530081
"AFG",2021-02-01,55059,2404,47723,35530081
"AFG",2021-02-02,55121,2405,47798,35530081
"AFG",2021-02-03,55174,2406,47982,35530081
"AFG",2021-02-04,55231,2407,47995,35530081
"AFG",2021-02-05,55265,2407,48018,35530081
"AFG",2021-02-06,55330,2408,48027,35530081
"AFG",2021-02-07,55335,2410,48041,35530081
"AFG",2021-02-08,55359,2413,48042,35530081
"AFG",2021-02-09,55384,2414,48109,35530081
"AFG",2021-02-10,55402,2418,48133,35530081
"AFG",2021-02-11,55420,2419,48279,35530081
"AFG",2021-02-12,55445,2424,48390,35530081
"AFG",2021-02-13,55473,2427,48392,35530081
"AFG",2021-02-14,55492,2427,48395,35530081
"AFG",2021-02-15,55514,2427,48433,35530081
"AFG",2021-02-16,55518,2428,48514,35530081
"AFG",2021-02-17,55540,2428,48626,35530081
"AFG",2021-02-18,55557,2430,48798,35530081
"AFG",2021-02-19,55575,2430,48803,35530081
"AFG",2021-02-20,55580,2430,48820,35530081
"AFG",2021-02-21,55604,2432,48834,35530081
"AFG",2021-02-22,55617,2433,48895,35530081
"AFG",2021-02-23,55646,2435,48967,35530081
"AFG",2021-02-24,55664,2436,49086,35530081
"AFG",2021-02-25,55680,2438,49281,35530081
"AFG",2021-02-26,55696,2442,49285,35530081
"AFG",2021-02-27,55707,2443,49288,35530081
"AGO",2020-01-22,0,0,0,29784193
"AGO",2020-01-23,0,0,0,29784193
"AGO",2020-01-24,0,0,0,29784193
"AGO",2020-01-25,0,0,0,29784193
"AGO",2020-01-26,0,0,0,29784193
"AGO",2020-01-27,0,0,0,29784193
"AGO",2020-01-28,0,0,0,29784193
"AGO",2020-01-29,0,0,0,29784193
"AGO",2020-01-30,0,0,0,29784193
"AGO",2020-01-31,0,0,0,29784193
"AGO",2020-02-01,0,0,0,29784193
"AGO",2020-02-02,0,0,0,29784193
"AGO",2020-02-03,0,0,0,29784193
"AGO",2020-02-04,0,0,0,29784193
"AGO",2020-02-05,0,0,0,29784193
"AGO",2020-02-06,0,0,0,29784193
"AGO",2020-02-07,0,0,0,29784193
"AGO",2020-02-08,0,0,0,29784193
"AGO",2020-02-09,0,0,0,29784193
"AGO",2020-02-10,0,0,0,29784193
"AGO",2020-02-11,0,0,0,29784193
"AGO",2020-02-12,0,0,0,29784193
"AGO",2020-02-13,0,0,0,29784193
"AGO",2020-02-14,0,0,0,29784193
"AGO",2020-02-15,0,0,0,29784193
"AGO",2020-02-16,0,0,0,29784193
"AGO",2020-02-17,0,0,0,29784193
"AGO",2020-02-18,0,0,0,29784193
"AGO",2020-02-19,0,0,0,29784193
"AGO",2020-02-20,0,0,0,29784193
"AGO",2020-02-21,0,0,0,29784193
"AGO",2020-02-22,0,0,0,29784193
"AGO",2020-02-23,0,0,0,29784193
"AGO",2020-02-24,0,0,0,29784193
"AGO",2020-02-25,0,0,0,29784193
"AGO",2020-02-26,0,0,0,29784193
"AGO",2020-02-27,0,0,0,29784193
"AGO",2020-02-28,0,0,0,29784193
"AGO",2020-02-29,0,0,0,29784193
"AGO",2020-03-01,0,0,0,29784193
"AGO",2020-03-02,0,0,0,29784193
"AGO",2020-03-03,0,0,0,29784193
"AGO",2020-03-04,0,0,0,29784193
"AGO",2020-03-05,0,0,0,29784193
"AGO",2020-03-06,0,0,0,29784193
"AGO",2020-03-07,0,0,0,29784193
"AGO",2020-03-08,0,0,0,29784193
"AGO",2020-03-09,0,0,0,29784193
"AGO",2020-03-10,0,0,0,29784193
"AGO",2020-03-11,0,0,0,29784193
"AGO",2020-03-12,0,0,0,29784193
"AGO",2020-03-13,0,0,0,29784193
"AGO",2020-03-14,0,0,0,29784193
"AGO",2020-03-15,0,0,0,29784193
"AGO",2020-03-16,0,0,0,29784193
"AGO",2020-03-17,0,0,0,29784193
"AGO",2020-03-18,0,0,0,29784193
"AGO",2020-03-19,0,0,0,29784193
"AGO",2020-03-20,1,0,0,29784193
"AGO",2020-03-21,2,0,0,29784193
"AGO",2020-03-22,2,0,0,29784193
"AGO",2020-03-23,3,0,0,29784193
"AGO",2020-03-24,3,0,0,29784193
"AGO",2020-03-25,3,0,0,29784193
"AGO",2020-03-26,4,0,0,29784193
"AGO",2020-03-27,4,0,0,29784193
"AGO",2020-03-28,5,0,0,29784193
"AGO",2020-03-29,7,2,0,29784193
"AGO",2020-03-30,7,2,0,29784193
"AGO",2020-03-31,7,2,1,29784193
"AGO",2020-04-01,8,2,1,29784193
"AGO",2020-04-02,8,2,1,29784193
"AGO",2020-04-03,8,2,1,29784193
"AGO",2020-04-04,10,2,2,29784193
"AGO",2020-04-05,14,2,2,29784193
"AGO",2020-04-06,16,2,2,29784193
"AGO",2020-04-07,17,2,2,29784193
"AGO",2020-04-08,19,2,2,29784193
"AGO",2020-04-09,19,2,2,29784193
"AGO",2020-04-10,19,2,2,29784193
"AGO",2020-04-11,19,2,4,29784193
"AGO",2020-04-12,19,2,4,29784193
"AGO",2020-04-13,19,2,4,29784193
"AGO",2020-04-14,19,2,5,29784193
"AGO",2020-04-15,19,2,5,29784193
"AGO",2020-04-16,19,2,5,29784193
"AGO",2020-04-17,19,2,5,29784193
"AGO",2020-04-18,24,2,6,29784193
"AGO",2020-04-19,24,2,6,29784193
"AGO",2020-04-20,24,2,6,29784193
"AGO",2020-04-21,24,2,6,29784193
"AGO",2020-04-22,25,2,6,29784193
"AGO",2020-04-23,25,2,6,29784193
"AGO",2020-04-24,25,2,6,29784193
"AGO",2020-04-25,25,2,6,29784193
"AGO",2020-04-26,26,2,6,29784193
"AGO",2020-04-27,27,2,6,29784193
